observed_name,canonical_nom,source_dataset,notes
Mongbwalu,Mongbalu,flowminder,Spelling variant noted in flowminder/README.md
Nyankunde,Nyakunde,flowminder,Spelling variant noted in flowminder/README.md
Boma Mangbetu,Boma-Mangbetu,flowminder,Space-separated variant of canonical hyphenated form
Gety,Gethy,flowminder,Common alternate spelling of canonical Gethy
Makiso Kisangani,Makiso-Kisangani,flowminder,Space-separated variant of canonical hyphenated form
Nia Nia,Nia-Nia,flowminder,Space-separated variant of canonical hyphenated form
Rwmapara,Rwampara,epi,Transposition typo observed in WHO Sitrep 01 (2026-05-18)
